source_url,scraped_at,category,description,submitted_by,submitted_time,vote_count,address,blockchain,tag,domain
https://chainabuse.com/chain/ETH?page=8,2026-02-10T11:25:56.724392,Fake Return Scams: Secure Your Crypto Investments,The platform was fake with a promise to make money.,Anonymous,"Jan 31, 2026",1,0x2fbc80cadd41f438aab71a37b910a3587791e5f5,Ethereum,,
https://chainabuse.com/chain/ETH?page=8,2026-02-10T11:25:56.724405,Job Scam: Learn and Report on Chainabuse,"Approximately 63 transactions in total. Transaction hash can be provided.Basically it was a job scam for Supply Optimisation task. Each time i was asked to put in more funds for high value reviews. Once the 40 reviews were completed. the Guarantee fund round had to be completed which required more deposits of funds. Once this round was completed, now expecting a withdrawal of funds, more funds were requested to complete the Processing fee round. Expecting this round again to be the final round, another round of Reimbursement fee was required to be completed. Unfortunately after these 3 rounds a fourth round of de-linkage accounts was required for completion as my mentor and colleague in the group had helped to input in funds to complete the rounds. By now i was totally exhuasted of funds. Full input in crypto was around 276k GBP. A crypto investigation firm contacted me to recover the funds. They said they would track the funds and request a freeze on the accounts to stop the movement of anything going out. For this, he requested fees. Fees to pay for a contract agreement between us. Step 1: Funds were requested by the exchange for wallet verification.Step 2: Funds were requested by the exchange to cover withdrawal fees, and multiple attempts were made on your different accounts.Step 3: After multiple failed attempts, it was decided to use banking channels to process the refund. Funds were requested to cover all conversion costs incurred while converting the cryptocurrency into GBP.Step 4: Due to the use of banking channels, third-party assistance was required to ensure a smooth process and to transfer the funds into an FCA-provided settlement account. The funds were paid to a third party for their assistance.Step 5: The FCA requested attested documents, which are always completed by an independent party, so a fee was paid for their document attestation services.Step 6: Funds have been requested by the FCA to complete the final compliance check, which is set at 5%.Step 7: Once the final compliance check is completed, the funds will be released to the provided bank account within 24 to 48 hours, and a confirmation email will be sent to the recipient. All these steps have been completed as requested by the recovery company and still i have not received the funds.Bank transfers have also been completed, on top of the crypto loss to the value of 8k during the job scam and 18k during the recovery process.",Anonymous,"Jan 30, 2026",0,THqoRHxnRKMVCntwgXyDMYw5LkaxDdQL8W,Tron,Kontoor 1,
https://chainabuse.com/chain/ETH?page=8,2026-02-10T11:25:56.724405,Job Scam: Learn and Report on Chainabuse,"Approximately 63 transactions in total. Transaction hash can be provided.Basically it was a job scam for Supply Optimisation task. Each time i was asked to put in more funds for high value reviews. Once the 40 reviews were completed. the Guarantee fund round had to be completed which required more deposits of funds. Once this round was completed, now expecting a withdrawal of funds, more funds were requested to complete the Processing fee round. Expecting this round again to be the final round, another round of Reimbursement fee was required to be completed. Unfortunately after these 3 rounds a fourth round of de-linkage accounts was required for completion as my mentor and colleague in the group had helped to input in funds to complete the rounds. By now i was totally exhuasted of funds. Full input in crypto was around 276k GBP. A crypto investigation firm contacted me to recover the funds. They said they would track the funds and request a freeze on the accounts to stop the movement of anything going out. For this, he requested fees. Fees to pay for a contract agreement between us. Step 1: Funds were requested by the exchange for wallet verification.Step 2: Funds were requested by the exchange to cover withdrawal fees, and multiple attempts were made on your different accounts.Step 3: After multiple failed attempts, it was decided to use banking channels to process the refund. Funds were requested to cover all conversion costs incurred while converting the cryptocurrency into GBP.Step 4: Due to the use of banking channels, third-party assistance was required to ensure a smooth process and to transfer the funds into an FCA-provided settlement account. The funds were paid to a third party for their assistance.Step 5: The FCA requested attested documents, which are always completed by an independent party, so a fee was paid for their document attestation services.Step 6: Funds have been requested by the FCA to complete the final compliance check, which is set at 5%.Step 7: Once the final compliance check is completed, the funds will be released to the provided bank account within 24 to 48 hours, and a confirmation email will be sent to the recipient. All these steps have been completed as requested by the recovery company and still i have not received the funds.Bank transfers have also been completed, on top of the crypto loss to the value of 8k during the job scam and 18k during the recovery process.",Anonymous,"Jan 30, 2026",0,THj9CRjjX1tZi7XZZ69DoQ1wyrYYbdz7H7,Tron,Kontoor 2,
https://chainabuse.com/chain/ETH?page=8,2026-02-10T11:25:56.724405,Job Scam: Learn and Report on Chainabuse,"Approximately 63 transactions in total. Transaction hash can be provided.Basically it was a job scam for Supply Optimisation task. Each time i was asked to put in more funds for high value reviews. Once the 40 reviews were completed. the Guarantee fund round had to be completed which required more deposits of funds. Once this round was completed, now expecting a withdrawal of funds, more funds were requested to complete the Processing fee round. Expecting this round again to be the final round, another round of Reimbursement fee was required to be completed. Unfortunately after these 3 rounds a fourth round of de-linkage accounts was required for completion as my mentor and colleague in the group had helped to input in funds to complete the rounds. By now i was totally exhuasted of funds. Full input in crypto was around 276k GBP. A crypto investigation firm contacted me to recover the funds. They said they would track the funds and request a freeze on the accounts to stop the movement of anything going out. For this, he requested fees. Fees to pay for a contract agreement between us. Step 1: Funds were requested by the exchange for wallet verification.Step 2: Funds were requested by the exchange to cover withdrawal fees, and multiple attempts were made on your different accounts.Step 3: After multiple failed attempts, it was decided to use banking channels to process the refund. Funds were requested to cover all conversion costs incurred while converting the cryptocurrency into GBP.Step 4: Due to the use of banking channels, third-party assistance was required to ensure a smooth process and to transfer the funds into an FCA-provided settlement account. The funds were paid to a third party for their assistance.Step 5: The FCA requested attested documents, which are always completed by an independent party, so a fee was paid for their document attestation services.Step 6: Funds have been requested by the FCA to complete the final compliance check, which is set at 5%.Step 7: Once the final compliance check is completed, the funds will be released to the provided bank account within 24 to 48 hours, and a confirmation email will be sent to the recipient. All these steps have been completed as requested by the recovery company and still i have not received the funds.Bank transfers have also been completed, on top of the crypto loss to the value of 8k during the job scam and 18k during the recovery process.",Anonymous,"Jan 30, 2026",0,TWXe428MDR7Dr96znn74DBNjDG7raXepjp,Tron,Kontoor 3,
https://chainabuse.com/chain/ETH?page=8,2026-02-10T11:25:56.724408,Crypto Hacks: Report and Stay Safe with Chainabuse,my metamask and solscan wallets were both drained within 24 hours,Anonymous,"Jan 30, 2026",1,7Rd8nR4h57TgBo9LQhbMpS8DXXsdtHCwuWFzXo4SSdfN,Solana,,
https://chainabuse.com/chain/ETH?page=8,2026-02-10T11:25:56.724408,Crypto Hacks: Report and Stay Safe with Chainabuse,my metamask and solscan wallets were both drained within 24 hours,Anonymous,"Jan 30, 2026",1,0x77e50b22aB9639f7DF4a123170177F73C59E64FD,Ethereum,,
https://chainabuse.com/chain/ETH?page=8,2026-02-10T11:25:56.724408,Crypto Hacks: Report and Stay Safe with Chainabuse,my metamask and solscan wallets were both drained within 24 hours,Anonymous,"Jan 30, 2026",1,7Rd8nR4h57TgBo9LQhbMpS8DXXsdtHCwuWFzXo4SSdfN,Solana,,
https://chainabuse.com/chain/ETH?page=8,2026-02-10T11:25:56.724410,Job Scam: Learn and Report on Chainabuse,"Hello, I apreciate any help I can get.I was looking for a second job while working as a coach at the Fehérút National Shooting Range when I saw an Instagram advertisement from “Euronics Career Networks.” I applied using my email and phone number and was soon contacted by email, then redirected to WhatsApp to speak with a coordinator.A person identifying herself as “Laura Fisher” contacted me, claiming to work for the British company Harvey Nichols. She offered a remote SEO marketing position, paying 600 euros per week for 3–4 hours of work per day, six days a week, plus commissions. She offered a training day, which I accepted.She sent me a link to a trainee interface that visually matched Harvey Nichols’ official website. I verified that Harvey Nichols is a real company. The training platform, however, could only be accessed via her link. During training, I completed tasks involving rating products and placing simulated orders to increase product visibility, earning commissions. No real purchases were made. Laura covered all required credits.At the end of training, I received 78 euros as a “training bonus” on my Revolut account, sent by a supposed Finance Department.I was then directed to the site’s support team via Telegram, where I was asked for standard employment details and received a contract bearing the name of the company’s real CEO. Before signing, Laura explained the system further and instructed me to wait, which increased my trust.She explained that the system required part of the daily funds to be deposited by me to avoid algorithm detection, assuring me these amounts would be reimbursed via salary and bonuses. The daily amount was 100 euros, to be deposited via cryptocurrency.I downloaded the Bitget app, deposited 100 euros worth of Ethereum, and sent it to a provided wallet. After completing 120 daily tasks, my balance increased and I successfully withdrew funds to my Revolut account. Over the next days, I reinvested only earned money and successfully withdrew increasing amounts. I was added to a WhatsApp group where others shared apparent success stories.I was encouraged to deposit higher amounts (up to 1,000 euros) to receive higher commissions. I deposited increasing sums and was repeatedly able to withdraw funds, reinforcing my trust.On the following day, after depositing 500 euros, I encountered multiple “limited edition” items requiring additional deposits: first 920 euros, then 2,600 euros. Support stated tasks could not be skipped and withdrawals were only possible after completing all daily tasks. Fearing loss of my existing deposits, I paid these amounts.Later, another item appeared requiring a deposit of 7,780 euros. At this point, I realized I was likely being scammed. Support encouraged me to borrow money or take out a loan. My mentor claimed to be hospitalized and became unresponsive.After speaking with a friend, I concluded this was a coordinated scam. I have not yet confronted the perpetrators. Bitget has informed me that tracking or recovery may only be possible after filing an official police report, which I have already filed for this morning in my home country Hungary with the X. district police department. Thank you for any help.",Anonymous,"Jan 30, 2026",1,0x3bED6c113cD7700c964756B4e2d8EF766477C70E,Ethereum,,https://marketvisibility-harveynichols.com/
https://chainabuse.com/chain/ETH?page=8,2026-02-10T11:25:56.724410,Job Scam: Learn and Report on Chainabuse,"Hello, I apreciate any help I can get.I was looking for a second job while working as a coach at the Fehérút National Shooting Range when I saw an Instagram advertisement from “Euronics Career Networks.” I applied using my email and phone number and was soon contacted by email, then redirected to WhatsApp to speak with a coordinator.A person identifying herself as “Laura Fisher” contacted me, claiming to work for the British company Harvey Nichols. She offered a remote SEO marketing position, paying 600 euros per week for 3–4 hours of work per day, six days a week, plus commissions. She offered a training day, which I accepted.She sent me a link to a trainee interface that visually matched Harvey Nichols’ official website. I verified that Harvey Nichols is a real company. The training platform, however, could only be accessed via her link. During training, I completed tasks involving rating products and placing simulated orders to increase product visibility, earning commissions. No real purchases were made. Laura covered all required credits.At the end of training, I received 78 euros as a “training bonus” on my Revolut account, sent by a supposed Finance Department.I was then directed to the site’s support team via Telegram, where I was asked for standard employment details and received a contract bearing the name of the company’s real CEO. Before signing, Laura explained the system further and instructed me to wait, which increased my trust.She explained that the system required part of the daily funds to be deposited by me to avoid algorithm detection, assuring me these amounts would be reimbursed via salary and bonuses. The daily amount was 100 euros, to be deposited via cryptocurrency.I downloaded the Bitget app, deposited 100 euros worth of Ethereum, and sent it to a provided wallet. After completing 120 daily tasks, my balance increased and I successfully withdrew funds to my Revolut account. Over the next days, I reinvested only earned money and successfully withdrew increasing amounts. I was added to a WhatsApp group where others shared apparent success stories.I was encouraged to deposit higher amounts (up to 1,000 euros) to receive higher commissions. I deposited increasing sums and was repeatedly able to withdraw funds, reinforcing my trust.On the following day, after depositing 500 euros, I encountered multiple “limited edition” items requiring additional deposits: first 920 euros, then 2,600 euros. Support stated tasks could not be skipped and withdrawals were only possible after completing all daily tasks. Fearing loss of my existing deposits, I paid these amounts.Later, another item appeared requiring a deposit of 7,780 euros. At this point, I realized I was likely being scammed. Support encouraged me to borrow money or take out a loan. My mentor claimed to be hospitalized and became unresponsive.After speaking with a friend, I concluded this was a coordinated scam. I have not yet confronted the perpetrators. Bitget has informed me that tracking or recovery may only be possible after filing an official police report, which I have already filed for this morning in my home country Hungary with the X. district police department. Thank you for any help.",Anonymous,"Jan 30, 2026",1,0x3bED6c113cD7700c964756B4e2d8EF766477C70E,Ethereum,,https://marketvisibility-harveynichols.com/
https://chainabuse.com/chain/ETH?page=8,2026-02-10T11:25:56.724412,Phishing Scams: Stay Protected on Chainabuse,"01.26.2026: I was contacted online by a man named Mikhail Avramenko, who presented himself as a cryptocurrency investment advisor. From the beginning, he acted in a calculated and manipulative manner, carefully building trust through false promises, fake reports, and fabricated success stories.Mikhail proved to be a dishonest and highly deceptive individual who showed no moral limits in his actions. He constantly changed his tactics, created convincing lies, and used psychological pressure to control the situation. His only goal was to steal money, regardless of the consequences for others.Through his deliberate deception, he persuaded me to transfer approximately $22,000 in cryptocurrency to a wallet under his control. After receiving the funds, he continued to invent excuses and demand additional payments.When I refused to send more money, he immediately cut off communication and disappeared from all online platforms.It became clear that I had been deliberately targeted and defrauded by a professional scammer who carefully planned and executed this crime.",Anonymous,"Jan 30, 2026",1,0x99825035bDc21a67f1cB14F6FF9F0d528c500d92,Ethereum,,mikhailavramenko.us
